Model	estimate	parameter	sigma
BBout23F	q97.5	lam0	18.20014676
BBout23F	gd.point	lam0	1.407287079
BBout23F	gd.upperCI	lam0	2.342317361
CAout11F	mean	psi	0.48709987
CAout11F	sd	psi	0.296240936
CAout11F	naïve.se	psi	0.000540859
CAout11F	ts.se	psi	0.019959346
CAout11F	q2.5	psi	0.027166021
CAout11F	q25	psi	0.225926713
CAout11F	q50	psi	0.487562568
CAout11F	q75	psi	0.742387946
CAout11F	q97.5	psi	0.979225236
CAout11F	gd.point	psi	1.108778394
CAout11F	gd.upperCI	psi	1.336892473
CAout13F	mean	psi	0.521397514
CAout13F	sd	psi	0.272974764
CAout13F	naïve.se	psi	0.000498381
CAout13F	ts.se	psi	0.017140182
CAout13F	q2.5	psi	0.067898791
CAout13F	q25	psi	0.291172084
CAout13F	q50	psi	0.505669746
CAout13F	q75	psi	0.759760097
CAout13F	q97.5	psi	0.97945637
CAout13F	gd.point	psi	1.105036862
CAout13F	gd.upperCI	psi	1.319774152
CAout21F	mean	psi	0.539262515
CAout21F	sd	psi	0.276499464
CAout21F	naïve.se	psi	0.000504817
CAout21F	ts.se	psi	0.017018959
CAout21F	q2.5	psi	0.05545343
CAout21F	q25	psi	0.312888764
CAout21F	q50	psi	0.543569098
CAout21F	q75	psi	0.777639236
CAout21F	q97.5	psi	0.980955441
CAout21F	gd.point	psi	1.066656664
CAout21F	gd.upperCI	psi	1.210270435
LYout11F	mean	psi	0.512668503
LYout11F	sd	psi	0.269519778
LYout11F	naïve.se	psi	0.000492074
LYout11F	ts.se	psi	0.025538447
LYout11F	q2.5	psi	0.054603958
LYout11F	q25	psi	0.283330734
LYout11F	q50	psi	0.516196005
LYout11F	q75	psi	0.734592527
LYout11F	q97.5	psi	0.971102782
LYout11F	gd.point	psi	1.02454198
LYout11F	gd.upperCI	psi	1.070860312
LYout13F	mean	psi	0.48598923
LYout13F	sd	psi	0.293110873
LYout13F	naïve.se	psi	0.000535145
LYout13F	ts.se	psi	0.018821903
LYout13F	q2.5	psi	0.028685577
LYout13F	q25	psi	0.215141393
LYout13F	q50	psi	0.486111623
LYout13F	q75	psi	0.743402756
LYout13F	q97.5	psi	0.971236853
LYout13F	gd.point	psi	1.807036903
LYout13F	gd.upperCI	psi	3.118626631
LYout21F	mean	psi	0.401160214
LYout21F	sd	psi	0.29487977
LYout21F	naïve.se	psi	0.000538374
LYout21F	ts.se	psi	0.034987559
LYout21F	q2.5	psi	0.023207369
LYout21F	q25	psi	0.10965762
LYout21F	q50	psi	0.378473715
LYout21F	q75	psi	0.642460896
LYout21F	q97.5	psi	0.956906656
LYout21F	gd.point	psi	1.130586537
LYout21F	gd.upperCI	psi	1.381739626
MOout23F	mean	psi	0.476250927
MOout23F	sd	psi	0.278401533
MOout23F	naïve.se	psi	0.000508289
MOout23F	ts.se	psi	0.019128566
MOout23F	q2.5	psi	0.053419745
MOout23F	q25	psi	0.230143364
MOout23F	q50	psi	0.455527305
MOout23F	q75	psi	0.715244579
MOout23F	q97.5	psi	0.964124906
MOout23F	gd.point	psi	1.200705161
MOout23F	gd.upperCI	psi	1.566372512
WOout11F	mean	psi	0.339814205
WOout11F	sd	psi	0.312526819
WOout11F	naïve.se	psi	0.000570593
WOout11F	ts.se	psi	0.037142079
WOout11F	q2.5	psi	0.003687799
WOout11F	q25	psi	0.05296179
WOout11F	q50	psi	0.235268856
WOout11F	q75	psi	0.607211382
WOout11F	q97.5	psi	0.959688846
WOout11F	gd.point	psi	1.573104203
WOout11F	gd.upperCI	psi	2.51643697
WOout21F	mean	psi	0.467375897
WOout21F	sd	psi	0.286719188
WOout21F	naïve.se	psi	0.000523475
WOout21F	ts.se	psi	0.024146924
WOout21F	q2.5	psi	0.037443039
WOout21F	q25	psi	0.210928489
WOout21F	q50	psi	0.452827179
WOout21F	q75	psi	0.708779682
WOout21F	q97.5	psi	0.972514642
WOout21F	gd.point	psi	1.140140748
WOout21F	gd.upperCI	psi	1.419368395
WOout23F	mean	psi	0.442363703
WOout23F	sd	psi	0.292287358
WOout23F	naïve.se	psi	0.000533641
WOout23F	ts.se	psi	0.027626889
WOout23F	q2.5	psi	0.020732994
WOout23F	q25	psi	0.178498371
WOout23F	q50	psi	0.426889451
WOout23F	q75	psi	0.683787076
WOout23F	q97.5	psi	0.969931453
WOout23F	gd.point	psi	1.077947591
WOout23F	gd.upperCI	psi	1.246166726
BBout11F	mean	psi	0.336140521
BBout11F	sd	psi	0.274372581
BBout11F	naïve.se	psi	0.000500934
BBout11F	ts.se	psi	0.036060787
BBout11F	q2.5	psi	0.03001656
BBout11F	q25	psi	0.095815621
BBout11F	q50	psi	0.242632883
BBout11F	q75	psi	0.540386422
BBout11F	q97.5	psi	0.929818575
BBout11F	gd.point	psi	1.067799825
BBout11F	gd.upperCI	psi	1.218607807
BBout13F	mean	psi	0.184781913
BBout13F	sd	psi	0.271161798
BBout13F	naïve.se	psi	0.000495071
BBout13F	ts.se	psi	0.027149685
BBout13F	q2.5	psi	0.000465771
BBout13F	q25	psi	0.002792473
BBout13F	q50	psi	0.02953067
BBout13F	q75	psi	0.276378314
BBout13F	q97.5	psi	0.916017749
BBout13F	gd.point	psi	1.705431588
BBout13F	gd.upperCI	psi	3.378411152
BBout13F	mean	psi	0.184781913
BBout13F	sd	psi	0.271161798
BBout13F	naïve.se	psi	0.000495071
BBout13F	ts.se	psi	0.027149685
BBout13F	q2.5	psi	0.000465771
BBout13F	q25	psi	0.002792473
BBout13F	q50	psi	0.02953067
BBout13F	q75	psi	0.276378314
BBout13F	q97.5	psi	0.916017749
BBout13F	gd.point	psi	1.705431588
BBout13F	gd.upperCI	psi	3.378411152
BBout21F	mean	psi	0.165855275
BBout21F	sd	psi	0.227670574
BBout21F	naïve.se	psi	0.000415668
BBout21F	ts.se	psi	0.030477864
BBout21F	q2.5	psi	0.002344402
BBout21F	q25	psi	0.01321895
BBout21F	q50	psi	0.060778363
BBout21F	q75	psi	0.229030773
BBout21F	q97.5	psi	0.844712856
BBout21F	gd.point	psi	1.19138273
BBout21F	gd.upperCI	psi	1.54534481
BBout22F	mean	psi	0.53487972
BBout22F	sd	psi	0.186407279
BBout22F	naïve.se	psi	0.000340332
BBout22F	ts.se	psi	0.02324017
BBout22F	q2.5	psi	0.292368733
BBout22F	q25	psi	0.391236015
BBout22F	q50	psi	0.483916157
BBout22F	q75	psi	0.640768537
BBout22F	q97.5	psi	0.970912854
BBout22F	gd.point	psi	1.833581747
BBout22F	gd.upperCI	psi	4.014669351
BBout23F	mean	psi	0.336738655
BBout23F	sd	psi	0.29179366
BBout23F	naïve.se	psi	0.00053274
BBout23F	ts.se	psi	0.022924372
BBout23F	q2.5	psi	0.003372964
BBout23F	q25	psi	0.075311232
BBout23F	q50	psi	0.257072389
BBout23F	q75	psi	0.552636847
BBout23F	q97.5	psi	0.950870137
BBout23F	gd.point	psi	1.275696862
BBout23F	gd.upperCI	psi	1.766300725
CAout11F	mean	Nhat	487.0942733
CAout11F	sd	Nhat	296.5486796
CAout11F	naïve.se	Nhat	0.541421337
CAout11F	ts.se	Nhat	20.09581942
CAout11F	q2.5	Nhat	27
CAout11F	q25	Nhat	226
CAout11F	q50	Nhat	488
