Model,species,estimate,parameter,value
BBout13F,black bear,sd,lam0,36.82120484
BBout13F,black bear,naïve.se,lam0,0.067226015
BBout13F,black bear,ts.se,lam0,4.052996288
BBout13F,black bear,q2.5,lam0,0.194019522
BBout13F,black bear,q25,lam0,9.14790101
BBout13F,black bear,q50,lam0,43.36485444
BBout13F,black bear,q75,lam0,79.45051124
BBout13F,black bear,q97.5,lam0,112.1811745
BBout13F,black bear,gd.point,lam0,10.62671997
BBout13F,black bear,gd.upperCI,lam0,24.79627769
BBout21F,black bear,mean,lam0,6.467928851
BBout21F,black bear,sd,lam0,7.500718391
BBout21F,black bear,naïve.se,lam0,0.013694376
BBout21F,black bear,ts.se,lam0,0.688395141
BBout21F,black bear,q2.5,lam0,0.018771339
BBout21F,black bear,q25,lam0,0.32060232
BBout21F,black bear,q50,lam0,2.22022739
BBout21F,black bear,q75,lam0,13.25709973
BBout21F,black bear,q97.5,lam0,21.73121406
BBout21F,black bear,gd.point,lam0,3.703981934
BBout21F,black bear,gd.upperCI,lam0,7.823532999
BBout22F,black bear,mean,lam0,8.304263616
BBout22F,black bear,sd,lam0,3.882640689
BBout22F,black bear,naïve.se,lam0,0.0070887
BBout22F,black bear,ts.se,lam0,0.698416567
BBout22F,black bear,q2.5,lam0,2.502932613
BBout22F,black bear,q25,lam0,5.034481791
BBout22F,black bear,q50,lam0,7.492705476
BBout22F,black bear,q75,lam0,12.49812547
BBout22F,black bear,q97.5,lam0,14.82029777
BBout22F,black bear,gd.point,lam0,10.65381438
BBout22F,black bear,gd.upperCI,lam0,20.87615985
BBout23F,black bear,mean,lam0,5.842228618
BBout23F,black bear,sd,lam0,5.597302506
BBout23F,black bear,naïve.se,lam0,0.010219229
BBout23F,black bear,ts.se,lam0,1.074310469
BBout23F,black bear,q2.5,lam0,0.044683823
BBout23F,black bear,q25,lam0,0.952176016
BBout23F,black bear,q50,lam0,4.077164462
BBout23F,black bear,q75,lam0,10.04877305
BBout23F,black bear,q97.5,lam0,18.20014676
BBout23F,black bear,gd.point,lam0,1.407287079
BBout23F,black bear,gd.upperCI,lam0,2.342317361
CAout11F,caribou,mean,psi,0.48709987
CAout11F,caribou,sd,psi,0.296240936
CAout11F,caribou,naïve.se,psi,0.000540859
CAout11F,caribou,ts.se,psi,0.019959346
CAout11F,caribou,q2.5,psi,0.027166021
CAout11F,caribou,q25,psi,0.225926713
CAout11F,caribou,q50,psi,0.487562568
CAout11F,caribou,q75,psi,0.742387946
CAout11F,caribou,q97.5,psi,0.979225236
CAout11F,caribou,gd.point,psi,1.108778394
CAout11F,caribou,gd.upperCI,psi,1.336892473
CAout13F,caribou,mean,psi,0.521397514
CAout13F,caribou,sd,psi,0.272974764
CAout13F,caribou,naïve.se,psi,0.000498381
CAout13F,caribou,ts.se,psi,0.017140182
CAout13F,caribou,q2.5,psi,0.067898791
CAout13F,caribou,q25,psi,0.291172084
CAout13F,caribou,q50,psi,0.505669746
CAout13F,caribou,q75,psi,0.759760097
CAout13F,caribou,q97.5,psi,0.97945637
CAout13F,caribou,gd.point,psi,1.105036862
CAout13F,caribou,gd.upperCI,psi,1.319774152
CAout21F,caribou,mean,psi,0.539262515
CAout21F,caribou,sd,psi,0.276499464
CAout21F,caribou,naïve.se,psi,0.000504817
CAout21F,caribou,ts.se,psi,0.017018959
CAout21F,caribou,q2.5,psi,0.05545343
CAout21F,caribou,q25,psi,0.312888764
CAout21F,caribou,q50,psi,0.543569098
CAout21F,caribou,q75,psi,0.777639236
CAout21F,caribou,q97.5,psi,0.980955441
CAout21F,caribou,gd.point,psi,1.066656664
CAout21F,caribou,gd.upperCI,psi,1.210270435
LYout11F,lynx,mean,psi,0.512668503
LYout11F,lynx,sd,psi,0.269519778
LYout11F,lynx,naïve.se,psi,0.000492074
LYout11F,lynx,ts.se,psi,0.025538447
LYout11F,lynx,q2.5,psi,0.054603958
LYout11F,lynx,q25,psi,0.283330734
LYout11F,lynx,q50,psi,0.516196005
LYout11F,lynx,q75,psi,0.734592527
LYout11F,lynx,q97.5,psi,0.971102782
LYout11F,lynx,gd.point,psi,1.02454198
LYout11F,lynx,gd.upperCI,psi,1.070860312
LYout13F,lynx,mean,psi,0.48598923
LYout13F,lynx,sd,psi,0.293110873
LYout13F,lynx,naïve.se,psi,0.000535145
LYout13F,lynx,ts.se,psi,0.018821903
LYout13F,lynx,q2.5,psi,0.028685577
LYout13F,lynx,q25,psi,0.215141393
LYout13F,lynx,q50,psi,0.486111623
LYout13F,lynx,q75,psi,0.743402756
LYout13F,lynx,q97.5,psi,0.971236853
LYout13F,lynx,gd.point,psi,1.807036903
LYout13F,lynx,gd.upperCI,psi,3.118626631
LYout21F,lynx,mean,psi,0.401160214
LYout21F,lynx,sd,psi,0.29487977
LYout21F,lynx,naïve.se,psi,0.000538374
LYout21F,lynx,ts.se,psi,0.034987559
LYout21F,lynx,q2.5,psi,0.023207369
LYout21F,lynx,q25,psi,0.10965762
LYout21F,lynx,q50,psi,0.378473715
LYout21F,lynx,q75,psi,0.642460896
LYout21F,lynx,q97.5,psi,0.956906656
LYout21F,lynx,gd.point,psi,1.130586537
LYout21F,lynx,gd.upperCI,psi,1.381739626
MOout23F,moose,mean,psi,0.476250927
MOout23F,moose,sd,psi,0.278401533
MOout23F,moose,naïve.se,psi,0.000508289
MOout23F,moose,ts.se,psi,0.019128566
MOout23F,moose,q2.5,psi,0.053419745
MOout23F,moose,q25,psi,0.230143364
MOout23F,moose,q50,psi,0.455527305
MOout23F,moose,q75,psi,0.715244579
MOout23F,moose,q97.5,psi,0.964124906
MOout23F,moose,gd.point,psi,1.200705161
MOout23F,moose,gd.upperCI,psi,1.566372512
WOout11F,wolf,mean,psi,0.339814205
WOout11F,wolf,sd,psi,0.312526819
WOout11F,wolf,naïve.se,psi,0.000570593
WOout11F,wolf,ts.se,psi,0.037142079
WOout11F,wolf,q2.5,psi,0.003687799
WOout11F,wolf,q25,psi,0.05296179
WOout11F,wolf,q50,psi,0.235268856
WOout11F,wolf,q75,psi,0.607211382
WOout11F,wolf,q97.5,psi,0.959688846
WOout11F,wolf,gd.point,psi,1.573104203
WOout11F,wolf,gd.upperCI,psi,2.51643697
WOout21F,wolf,mean,psi,0.467375897
WOout21F,wolf,sd,psi,0.286719188
WOout21F,wolf,naïve.se,psi,0.000523475
WOout21F,wolf,ts.se,psi,0.024146924
WOout21F,wolf,q2.5,psi,0.037443039
WOout21F,wolf,q25,psi,0.210928489
WOout21F,wolf,q50,psi,0.452827179
WOout21F,wolf,q75,psi,0.708779682
WOout21F,wolf,q97.5,psi,0.972514642
WOout21F,wolf,gd.point,psi,1.140140748
WOout21F,wolf,gd.upperCI,psi,1.419368395
WOout23F,wolf,mean,psi,0.442363703
WOout23F,wolf,sd,psi,0.292287358
WOout23F,wolf,naïve.se,psi,0.000533641
WOout23F,wolf,ts.se,psi,0.027626889
WOout23F,wolf,q2.5,psi,0.020732994
WOout23F,wolf,q25,psi,0.178498371
WOout23F,wolf,q50,psi,0.426889451
WOout23F,wolf,q75,psi,0.683787076
WOout23F,wolf,q97.5,psi,0.969931453
WOout23F,wolf,gd.point,psi,1.077947591
WOout23F,wolf,gd.upperCI,psi,1.246166726
BBout11F,black bear,mean,psi,0.336140521
BBout11F,black bear,sd,psi,0.274372581
BBout11F,black bear,naïve.se,psi,0.000500934
BBout11F,black bear,ts.se,psi,0.036060787
BBout11F,black bear,q2.5,psi,0.03001656
BBout11F,black bear,q25,psi,0.095815621
BBout11F,black bear,q50,psi,0.242632883
BBout11F,black bear,q75,psi,0.540386422
BBout11F,black bear,q97.5,psi,0.929818575
BBout11F,black bear,gd.point,psi,1.067799825
BBout11F,black bear,gd.upperCI,psi,1.218607807
BBout13F,black bear,mean,psi,0.184781913
